Country,Human_development,GII,Rank,Maternal_mortality,Adolescent_birth_rate,Seats_parliament,F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force
Switzerland,Very high,0.018,3,5,2.2,39.8,96.9,97.5,61.7,72.7
Norway,Very high,0.016,2,2,2.3,45,99.1,99.3,60.3,72
Iceland,Very high,0.043,8,4,5.4,47.6,99.8,99.7,61.7,70.5
Hong Kong,Very high,,,,1.6,,77.1,83.4,53.5,65.8
Australia,Very high,0.073,19,6,8.1,37.9,94.6,94.4,61.1,70.5
Denmark,Very high,0.013,1,4,1.9,39.7,95.1,95.2,57.7,66.7
Sweden,Very high,0.023,4,4,3.3,47,91.8,92.2,61.7,68
Ireland,Very high,0.074,21,5,5.9,27.3,88.1,86,56.5,68.6
Germany,Very high,0.073,19,7,7.5,34.8,96.1,96.5,56.8,66
Netherlands,Very high,0.025,5,5,2.8,39.1,89.8,92.7,62.4,71.3
Finland,Very high,0.033,6,3,4.2,46,99,98.5,56.5,64
Singapore,Very high,0.04,7,8,2.6,29.8,80.5,85.9,59.4,76.8
Belgium,Very high,0.048,10,5,5.3,42.9,87.2,89.7,49.8,58.8
New Zealand,Very high,0.088,25,9,12.6,49.2,82,81.8,65.1,75.3
Canada,Very high,0.069,17,10,7,34.4,100,100,60.8,69.7
Liechtenstein,Very high,,,,3,28,,,,
Luxembourg,Very high,0.044,9,5,4.3,35,100,100,58.5,65.5
United Kingdom,Very high,0.098,27,7,10.5,31.1,99.8,99.8,58,67.1
Japan,Very high,0.083,22,5,2.9,14.2,95.9,92.7,53.3,71
South Korea,Very high,0.067,15,11,2.2,19,83.1,93.1,53.4,72.4
United States,Very high,0.179,44,19,16,27,96.5,96.4,55.2,66.4
Israel,Very high,0.083,22,3,7.6,28.3,91.6,93.7,58.5,66.1
Malta,Very high,0.167,42,6,11.5,13.4,82.2,88.1,53.1,71.4
Slovenia,Very high,0.071,18,7,4.5,21.5,97.6,98.7,53.8,62.2
Austria,Very high,0.053,12,5,5.5,39.3,100,100,55.5,66.3
United Arab Emirates,Very high,0.049,11,3,3.1,50,82,85.6,46.5,88
Spain,Very high,0.057,14,4,6.3,42.3,78.5,83.2,52.7,62.4
France,Very high,0.083,22,8,9.5,37.8,83.5,87.9,51.9,59.7
Cyprus,Very high,0.123,35,6,6.8,14.3,81.1,84.8,56.6,68.8
Italy,Very high,0.056,13,2,4,35.3,78.6,86.1,39.9,57.6
Estonia,Very high,0.1,28,9,8.8,25.7,97.6,98.1,57.5,70.2
Czechia,Very high,0.12,34,3,9.7,22.1,99.8,99.8,51.7,68.1
Greece,Very high,0.119,32,3,8.5,21.7,69.9,77.8,43.3,58.1
Poland,Very high,0.109,31,2,9.7,27.5,86.5,90.7,49.2,65.5
Bahrain,Very high,0.181,46,14,8.7,18.8,79.9,83.1,42.4,83.5
Lithuania,Very high,0.105,30,8,10.4,27.7,95.5,97.9,57.3,67.9
